trade_id,pv,delta,vega
769,361.191,-7.418,1.946
770,780.727,9.437,1.998
771,-1.468,0.238,-0.728
772,282.287,6.856,5.507
773,1.903,-0.036,0.308
774,-0.003,-0.002,-0.003
775,854.472,-10.0,0.0
776,215.246,6.581,6.363
777,-838.022,9.894,-0.119
778,509.601,7.359,8.222
779,0.284,-0.043,0.135
780,-569.544,-8.147,-7.098
781,508.362,-5.338,7.585
782,97.669,3.81,4.062
783,-39.507,4.567,-0.889
784,1266.95,11.08,1.533
785,14.065,-0.487,1.445
786,-846.105,-9.07,-4.728
787,105.066,-3.153,5.672
788,105.918,7.793,2.753
789,-0.001,0.0,-0.001
790,1024.353,10.0,0.002
791,76.062,-1.035,3.369
792,-363.089,-7.472,-7.385
793,1038.191,-9.358,0.493
794,1081.294,9.916,0.677
795,-487.641,9.098,-0.816
796,30.203,3.531,1.408
797,22.036,-1.101,1.574
798,-1111.604,-9.901,-0.692
799,158.648,-2.841,9.428
800,12.712,1.48,1.417
801,-423.16,5.631,-2.844
802,4.307,0.73,0.484
803,911.146,-10.0,0.0
804,-10.236,-1.375,-0.923
805,265.141,-9.999,0.0
806,192.892,5.636,5.375
807,-224.228,8.949,-0.759
808,0.283,0.135,0.086
809,0.0,-0.0,0.0
810,-62.842,-3.205,-5.389
811,53.356,-1.866,3.134
812,1266.053,9.978,0.175
813,-97.33,2.164,-5.582
814,0.0,0.0,0.0
815,409.711,-9.81,0.339
816,-1141.376,-11.801,-3.17
817,12.373,-0.391,1.037
818,1067.724,9.898,0.615
819,-0.522,0.047,-0.151
820,699.393,9.993,0.065
821,1.5,-0.048,0.263
822,-438.558,-6.898,-10.857
823,531.279,-9.754,0.14
824,696.379,11.118,0.636
825,-543.272,9.457,-0.597
826,395.233,9.992,0.032
827,356.414,-9.934,0.151
828,-176.039,-6.504,-4.164
829,244.371,-3.793,5.587
830,83.96,4.433,4.894
831,-82.58,5.271,-4.008
832,4.282,0.874,1.836
833,1.282,-0.084,0.271
834,-61.197,-2.917,-4.041
835,868.931,-9.633,0.421
836,445.513,8.926,3.063
837,-152.941,4.044,-1.85
838,75.373,6.078,2.122
839,0.0,-0.0,0.0
840,-466.381,-11.441,-2.351
841,271.473,-1.777,8.489
842,293.826,8.352,2.628
843,-419.319,3.813,-7.756
844,879.713,10.0,0.0
845,348.693,-9.999,0.001
846,-556.943,-7.447,-8.032
847,0.056,-0.006,0.03
848,290.904,10.862,0.06
849,-0.0,0.0,-0.0
850,569.732,8.893,5.01
851,571.63,-8.325,0.995
852,-4.538,-0.722,-0.524
853,12.396,-0.492,0.992
854,0.0,0.0,0.0
855,-0.532,0.389,-0.234
856,483.263,11.02,3.766
857,526.184,-9.95,0.092
858,-212.302,-7.188,-4.108
859,0.0,-0.0,0.0
860,25.66,1.905,2.85
861,-728.492,9.676,-0.37
862,370.033,8.178,4.013
863,132.639,-7.04,2.516
864,-660.05,-9.68,-5.722
865,37.841,-1.271,1.928
866,3.829,0.678,0.414
867,-804.035,9.992,-0.02
868,772.677,9.983,0.051
869,57.417,-0.656,3.568
870,-234.591,-8.836,-1.067
871,0.0,-0.0,0.0
872,16.939,1.892,1.816
873,-3.678,0.322,-1.052
874,47.38,2.376,2.992
875,295.357,-9.315,0.918
876,-0.0,-0.0,-0.0
877,82.245,-2.181,7.488
878,1.585,0.707,0.497
879,-587.333,9.982,-0.036
880,97.079,4.461,4.269
881,34.725,-0.759,2.487
882,-12.268,-4.046,-1.666
883,170.574,-2.049,4.537
884,326.608,7.219,4.444
885,-129.778,1.026,-5.852
886,0.0,0.0,0.0
887,0.0,0.0,0.0
888,-144.781,-6.282,-7.112
889,80.571,-1.62,4.491
890,697.111,9.033,3.33
891,-12.18,2.746,-1.587
892,190.671,9.386,0.793
893,680.81,-4.918,6.278
894,-526.739,-10.0,-0.0
895,0.204,-0.009,0.069
896,66.669,8.203,2.815
897,-0.142,0.015,-0.036
898,369.568,8.059,4.414
899,611.947,-10.0,0.0
900,-2.731,-0.629,-0.383
901,0.014,-0.002,0.018
902,65.394,5.979,1.582
903,-623.561,9.961,-0.156
904,1.395,0.227,0.785
905,0.151,-0.011,0.039
906,-497.535,-9.799,-0.67
907,980.033,-9.858,0.165
908,205.678,5.712,5.377
909,-90.281,2.041,-6.224
910,41.265,2.596,3.738
911,212.475,-8.418,2.328
912,-280.256,-7.334,-8.482
913,15.871,-1.197,2.604
914,475.504,9.184,2.233
915,-447.357,9.961,-0.109
916,241.206,6.611,9.307
